,itsA,run_time,t
0,182.0,0.3650679588317871,0.060000000000000005
1,215.0,0.43417906761169434,0.060000000000000005
2,212.0,0.4289400577545166,0.05
3,882.0,1.7792363166809082,0.060000000000000005
4,878.0,1.7692580223083496,0.060000000000000005
5,122.0,0.24681520462036133,0.060000000000000005
6,898.0,1.8040251731872559,0.060000000000000005
7,698.0,1.4123706817626953,0.060000000000000005
8,145.0,0.29335808753967285,0.060000000000000005
9,337.0,0.6929652690887451,0.060000000000000005
10,156.0,0.3336758613586426,0.060000000000000005
11,313.0,0.6271369457244873,0.060000000000000005
12,462.0,0.9335415363311768,0.060000000000000005
13,147.0,0.29443860054016113,0.060000000000000005
14,238.0,0.4737875461578369,0.060000000000000005
15,255.0,0.5109710693359375,0.060000000000000005
16,159.0,0.31725001335144043,0.060000000000000005
17,1434.0,2.8969268798828125,0.060000000000000005
18,361.0,0.7236301898956299,0.060000000000000005
19,218.0,0.4395906925201416,0.060000000000000005
20,960.0,1.9174482822418213,0.060000000000000005
21,151.0,0.31891942024230957,0.060000000000000005
22,151.0,0.3002626895904541,0.05
23,169.0,0.35379815101623535,0.060000000000000005
24,189.0,0.3858060836791992,0.060000000000000005
25,140.0,0.2828338146209717,0.060000000000000005
26,294.0,0.5894851684570312,0.060000000000000005
27,127.0,0.26909828186035156,0.060000000000000005
28,112.0,0.22627043724060059,0.060000000000000005
29,123.0,0.24668574333190918,0.060000000000000005
30,700.0,1.417346715927124,0.060000000000000005
31,294.0,0.6003527641296387,0.05
32,517.0,1.0301249027252197,0.060000000000000005
33,132.0,0.27572131156921387,0.060000000000000005
34,755.0,1.5058989524841309,0.060000000000000005
35,405.0,0.8152749538421631,0.060000000000000005
36,303.0,0.6170756816864014,0.060000000000000005
37,150.0,0.30170536041259766,0.060000000000000005
38,1652.0,3.3476603031158447,0.060000000000000005
39,162.0,0.3182253837585449,0.060000000000000005
40,170.0,0.338702917098999,0.060000000000000005
41,144.0,0.2906224727630615,0.05
42,953.0,1.928248405456543,0.060000000000000005
43,191.0,0.3834230899810791,0.060000000000000005
44,167.0,0.3402986526489258,0.060000000000000005
45,148.0,0.3005530834197998,0.060000000000000005
46,160.0,0.4170534610748291,0.060000000000000005
47,137.0,0.27762269973754883,0.060000000000000005
48,151.0,0.3148465156555176,0.060000000000000005
49,137.0,0.2742483615875244,0.060000000000000005
