,itsSGD,run_time,t
0,100.0,0.21145248413085938,0.05
1,100.0,0.21042704582214355,0.05
2,100.0,0.21024274826049805,0.05
3,100.0,0.20633149147033691,0.05
4,100.0,0.209303617477417,0.05
5,100.0,0.21120572090148926,0.05
6,100.0,0.20667815208435059,0.05
7,100.0,0.20886564254760742,0.05
8,100.0,0.20729732513427734,0.05
9,100.0,0.20688676834106445,0.05
10,100.0,0.20982933044433594,0.05
11,100.0,0.20670104026794434,0.05
12,100.0,0.20741868019104004,0.05
13,100.0,0.20882010459899902,0.05
14,100.0,0.2127537727355957,0.05
15,100.0,0.2063143253326416,0.05
16,100.0,0.21258878707885742,0.05
17,100.0,0.20406627655029297,0.05
18,100.0,0.20721030235290527,0.05
19,100.0,0.20813417434692383,0.05
20,100.0,0.20704412460327148,0.05
21,100.0,0.2059764862060547,0.05
22,100.0,0.2140815258026123,0.05
23,100.0,0.20541644096374512,0.05
24,100.0,0.21158814430236816,0.05
25,100.0,0.20856857299804688,0.05
26,100.0,0.2138655185699463,0.05
27,100.0,0.20542597770690918,0.05
28,100.0,0.2079458236694336,0.05
29,100.0,0.20853686332702637,0.05
30,100.0,0.2052621841430664,0.05
31,100.0,0.2075355052947998,0.05
32,100.0,0.2069387435913086,0.05
33,100.0,0.20667314529418945,0.05
34,100.0,0.20882415771484375,0.05
35,100.0,0.2065412998199463,0.05
36,100.0,0.20569515228271484,0.05
37,100.0,0.20855021476745605,0.05
38,100.0,0.20493793487548828,0.05
39,100.0,0.20795130729675293,0.05
40,100.0,0.2801167964935303,0.05
41,100.0,0.20688700675964355,0.05
42,100.0,0.20925068855285645,0.05
43,100.0,0.2055346965789795,0.05
44,100.0,0.20652532577514648,0.05
45,100.0,0.21299028396606445,0.05
46,100.0,0.2055823802947998,0.05
47,100.0,0.21146202087402344,0.05
48,100.0,0.20714521408081055,0.05
49,100.0,0.2073373794555664,0.05
