,itsGD,run_time,alpha,beta
0,83.0,0.11855792999267578,0.52,0.92
1,762.0,0.9109210968017578,0.9500000000000001,0.20000000000000007
2,53.0,0.07744741439819336,0.5,0.9400000000000001
3,190.0,0.2394700050354004,0.87,0.09000000000000001
4,89.0,0.12553882598876953,0.07,0.38000000000000006
5,51.0,0.10742688179016113,0.5,0.9400000000000001
6,72.0,0.08391618728637695,0.75,0.060000000000000005
7,51.0,0.0898890495300293,0.51,0.9400000000000001
8,47.0,0.08323001861572266,0.51,0.9500000000000001
9,458.0,0.5588574409484863,0.11000000000000001,0.68
