,itsNAG,run_time,t,m
0,36.0,0.032411813735961914,0.09000000000000001,0.09000000000000001
1,35.0,0.031150341033935547,0.09000000000000001,0.08000000000000002
2,22.0,0.017798662185668945,0.08000000000000002,0.13
3,36.0,0.02939009666442871,0.09000000000000001,0.09000000000000001
4,35.0,0.02853560447692871,0.09000000000000001,0.09000000000000001
5,34.0,0.02862381935119629,0.09000000000000001,0.08000000000000002
6,35.0,0.030176877975463867,0.09000000000000001,0.1
7,36.0,0.030261993408203125,0.09000000000000001,0.11000000000000001
8,31.0,0.02635502815246582,0.09000000000000001,0.08000000000000002
9,34.0,0.02870941162109375,0.08000000000000002,0.14
10,27.0,0.022675514221191406,0.08000000000000002,0.15000000000000002
11,34.0,0.03385496139526367,0.08000000000000002,0.15000000000000002
12,33.0,0.027592897415161133,0.08000000000000002,0.14
13,32.0,0.026553630828857422,0.08000000000000002,0.14
14,36.0,0.029987335205078125,0.09000000000000001,0.1
15,36.0,0.03024435043334961,0.09000000000000001,0.1
16,33.0,0.027691364288330078,0.09000000000000001,0.08000000000000002
17,37.0,0.03099203109741211,0.09000000000000001,0.08000000000000002
18,37.0,0.03709101676940918,0.09000000000000001,0.08000000000000002
19,33.0,0.02776789665222168,0.09000000000000001,0.14
20,36.0,0.030639171600341797,0.09000000000000001,0.07
21,33.0,0.029854297637939453,0.08000000000000002,0.15000000000000002
22,33.0,0.02759385108947754,0.08000000000000002,0.15000000000000002
23,32.0,0.026929378509521484,0.09000000000000001,0.15000000000000002
24,37.0,0.031122207641601562,0.09000000000000001,0.08000000000000002
25,34.0,0.028385162353515625,0.09000000000000001,0.1
26,28.0,0.023523569107055664,0.08000000000000002,0.15000000000000002
27,36.0,0.030414581298828125,0.09000000000000001,0.08000000000000002
28,36.0,0.030358076095581055,0.09000000000000001,0.08000000000000002
29,32.0,0.02710866928100586,0.08000000000000002,0.14
30,33.0,0.028020858764648438,0.09000000000000001,0.1
31,33.0,0.027734994888305664,0.09000000000000001,0.08000000000000002
32,34.0,0.029082775115966797,0.09000000000000001,0.09000000000000001
33,35.0,0.029506921768188477,0.09000000000000001,0.07
34,36.0,0.030270099639892578,0.09000000000000001,0.08000000000000002
35,30.0,0.025622844696044922,0.08000000000000002,0.14
36,28.0,0.023822307586669922,0.08000000000000002,0.13
37,34.0,0.0285494327545166,0.09000000000000001,0.08000000000000002
38,37.0,0.031349897384643555,0.09000000000000001,0.1
39,34.0,0.02872014045715332,0.09000000000000001,0.09000000000000001
40,34.0,0.02869892120361328,0.09000000000000001,0.11000000000000001
41,35.0,0.029438257217407227,0.08000000000000002,0.15000000000000002
42,35.0,0.0293729305267334,0.09000000000000001,0.1
43,35.0,0.02922844886779785,0.09000000000000001,0.11000000000000001
44,30.0,0.025485992431640625,0.08000000000000002,0.15000000000000002
45,36.0,0.03049492835998535,0.09000000000000001,0.09000000000000001
46,35.0,0.029401302337646484,0.09000000000000001,0.09000000000000001
47,22.0,0.01849842071533203,0.08000000000000002,0.12000000000000001
48,32.0,0.027532100677490234,0.09000000000000001,0.09000000000000001
49,33.0,0.02778458595275879,0.08000000000000002,0.15000000000000002
