,itsSGD,run_time,t
0,100.0,0.08788156509399414,0.05
1,100.0,0.09307312965393066,0.05
2,100.0,0.08805608749389648,0.05
3,100.0,0.08812570571899414,0.05
4,100.0,0.08938193321228027,0.05
5,100.0,0.09064149856567383,0.05
6,100.0,0.09148168563842773,0.05
7,100.0,0.08779454231262207,0.05
8,100.0,0.09400534629821777,0.05
9,100.0,0.08879971504211426,0.05
10,100.0,0.0929715633392334,0.05
11,100.0,0.08774662017822266,0.05
12,100.0,0.09282040596008301,0.05
13,100.0,0.0910954475402832,0.05
14,100.0,0.09073090553283691,0.05
15,100.0,0.08856582641601562,0.05
16,100.0,0.08785247802734375,0.05
17,100.0,0.08804726600646973,0.05
18,100.0,0.08798480033874512,0.05
19,100.0,0.08842134475708008,0.05
20,100.0,0.08855485916137695,0.05
21,100.0,0.09104442596435547,0.05
22,100.0,0.09723162651062012,0.05
23,100.0,0.08797454833984375,0.05
24,100.0,0.08775973320007324,0.05
25,100.0,0.08824038505554199,0.05
26,100.0,0.08945298194885254,0.05
27,100.0,0.08707475662231445,0.05
28,100.0,0.09109807014465332,0.05
29,100.0,0.0881350040435791,0.05
30,100.0,0.09815621376037598,0.05
31,100.0,0.09346365928649902,0.05
32,100.0,0.1555628776550293,0.05
33,100.0,0.08855199813842773,0.05
34,100.0,0.11430072784423828,0.05
35,100.0,0.09374547004699707,0.05
36,100.0,0.08668136596679688,0.05
37,100.0,0.09236860275268555,0.05
38,100.0,0.0953361988067627,0.05
39,100.0,0.0894618034362793,0.05
40,100.0,0.09554934501647949,0.05
41,100.0,0.09253048896789551,0.05
42,100.0,0.08989644050598145,0.05
43,100.0,0.08942079544067383,0.05
44,100.0,0.08896088600158691,0.05
45,100.0,0.09476184844970703,0.05
46,100.0,0.09947681427001953,0.05
47,100.0,0.08705329895019531,0.05
48,100.0,0.09055566787719727,0.05
49,100.0,0.09435653686523438,0.05
