,itsA,run_time,t
0,198.0,0.17064833641052246,0.060000000000000005
1,303.0,0.25829362869262695,0.060000000000000005
2,135.0,0.11497235298156738,0.060000000000000005
3,259.0,0.2206740379333496,0.060000000000000005
4,191.0,0.1627788543701172,0.060000000000000005
5,198.0,0.16991424560546875,0.060000000000000005
6,153.0,0.1304926872253418,0.060000000000000005
7,198.0,0.16848540306091309,0.060000000000000005
8,147.0,0.1263878345489502,0.060000000000000005
9,274.0,0.30088067054748535,0.060000000000000005
10,610.0,0.5214273929595947,0.060000000000000005
11,530.0,0.4546070098876953,0.060000000000000005
12,383.0,0.3261537551879883,0.060000000000000005
13,245.0,0.20982146263122559,0.060000000000000005
14,170.0,0.1452469825744629,0.060000000000000005
15,217.0,0.18698501586914062,0.060000000000000005
16,198.0,0.16761302947998047,0.060000000000000005
17,269.0,0.23202967643737793,0.060000000000000005
18,450.0,0.3904848098754883,0.060000000000000005
19,148.0,0.1260533332824707,0.060000000000000005
20,572.0,0.4896101951599121,0.060000000000000005
21,218.0,0.18606114387512207,0.060000000000000005
22,420.0,0.3598349094390869,0.060000000000000005
23,105.0,0.08899807929992676,0.060000000000000005
24,385.0,0.3343358039855957,0.060000000000000005
25,156.0,0.14033246040344238,0.060000000000000005
26,395.0,0.335923433303833,0.060000000000000005
27,226.0,0.19343852996826172,0.060000000000000005
28,229.0,0.19977569580078125,0.060000000000000005
29,249.0,0.21115374565124512,0.060000000000000005
30,153.0,0.12987947463989258,0.060000000000000005
31,160.0,0.1400437355041504,0.060000000000000005
32,197.0,0.1701655387878418,0.060000000000000005
33,433.0,0.3692610263824463,0.060000000000000005
34,445.0,0.38509392738342285,0.060000000000000005
35,451.0,0.3846898078918457,0.060000000000000005
36,333.0,0.2849390506744385,0.060000000000000005
37,208.0,0.17636895179748535,0.060000000000000005
38,211.0,0.17933249473571777,0.060000000000000005
39,140.0,0.12633109092712402,0.060000000000000005
40,146.0,0.12573933601379395,0.060000000000000005
41,558.0,0.47896623611450195,0.060000000000000005
42,203.0,0.17520689964294434,0.060000000000000005
43,149.0,0.12693095207214355,0.060000000000000005
44,583.0,0.4993433952331543,0.060000000000000005
45,244.0,0.2125382423400879,0.060000000000000005
46,403.0,0.34901952743530273,0.060000000000000005
47,261.0,0.2277660369873047,0.060000000000000005
48,161.0,0.18306875228881836,0.060000000000000005
49,292.0,0.3207721710205078,0.060000000000000005
