,itsAG,run_time,t
0,4737.0,4.047420978546143,0.060000000000000005
1,8576.0,7.375599145889282,0.060000000000000005
2,311.0,0.2643113136291504,0.060000000000000005
3,8702.0,7.501845121383667,0.060000000000000005
4,3220.0,2.7575371265411377,0.060000000000000005
5,2707.0,2.3259530067443848,0.060000000000000005
6,3897.0,3.356149673461914,0.060000000000000005
7,5973.0,5.118222713470459,0.060000000000000005
8,266.0,0.23224544525146484,0.060000000000000005
9,6797.0,5.781538248062134,0.060000000000000005
10,10000.0,8.842570543289185,0.05
11,10000.0,8.567388534545898,0.05
12,9450.0,8.1199951171875,0.060000000000000005
13,5392.0,4.627676248550415,0.060000000000000005
14,4873.0,4.191151857376099,0.060000000000000005
15,6560.0,5.598242998123169,0.060000000000000005
16,3121.0,2.72219181060791,0.060000000000000005
17,9818.0,8.472716569900513,0.060000000000000005
18,10000.0,8.513123750686646,0.05
19,1948.0,1.672358512878418,0.060000000000000005
20,10000.0,8.555744171142578,0.05
21,4686.0,4.006113290786743,0.060000000000000005
22,10000.0,8.611327171325684,0.05
23,1187.0,1.0205614566802979,0.060000000000000005
24,10000.0,8.595442533493042,0.05
25,1849.0,1.5862739086151123,0.060000000000000005
26,7482.0,6.383939743041992,0.060000000000000005
27,7225.0,6.172987461090088,0.060000000000000005
28,7282.0,6.269895315170288,0.060000000000000005
29,5465.0,4.730425596237183,0.060000000000000005
30,668.0,0.573871374130249,0.060000000000000005
31,3718.0,3.1929218769073486,0.060000000000000005
32,2612.0,2.2462682723999023,0.060000000000000005
33,10000.0,8.816560983657837,0.05
34,10000.0,8.78899621963501,0.05
35,9996.0,8.590029001235962,0.060000000000000005
36,5718.0,4.92744779586792,0.060000000000000005
37,2953.0,2.529770612716675,0.060000000000000005
38,9424.0,8.072400569915771,0.060000000000000005
39,1058.0,0.9067888259887695,0.060000000000000005
40,1545.0,1.3300843238830566,0.060000000000000005
41,10000.0,8.858246564865112,0.05
42,4054.0,3.4722719192504883,0.060000000000000005
43,3210.0,2.7883083820343018,0.060000000000000005
44,10000.0,8.584143877029419,0.05
45,8103.0,6.928448677062988,0.060000000000000005
46,10000.0,8.560007095336914,0.05
47,2568.0,2.2082695960998535,0.060000000000000005
48,380.0,0.3244900703430176,0.060000000000000005
49,6936.0,5.938625335693359,0.060000000000000005
