,itsGD,run_time,alpha,beta
0,13.0,0.010214567184448242,0.060000000000000005,0.53
1,11.0,0.009747505187988281,0.39000000000000007,0.8
2,8.0,0.006468057632446289,0.3200000000000001,0.6900000000000001
3,15.0,0.010957002639770508,0.16000000000000003,0.4400000000000001
4,11.0,0.009361505508422852,0.4300000000000001,0.81
5,11.0,0.00853419303894043,0.20000000000000007,0.5
6,11.0,0.00954890251159668,0.36000000000000004,0.7000000000000001
7,11.0,0.008718490600585938,0.25000000000000006,0.61
8,7.0,0.005661487579345703,0.35000000000000003,0.61
9,8.0,0.008297443389892578,0.5,0.9500000000000001
10,10.0,0.008405923843383789,0.25000000000000006,0.62
11,14.0,0.010769367218017578,0.060000000000000005,0.49000000000000005
12,8.0,0.009689569473266602,0.5,0.9400000000000001
13,10.0,0.007588863372802734,0.39000000000000007,0.7000000000000001
14,14.0,0.01188802719116211,0.5,0.7000000000000001
15,11.0,0.009276866912841797,0.35000000000000003,0.67
16,7.0,0.006521463394165039,0.45,0.7300000000000001
17,12.0,0.012620687484741211,0.5,0.92
18,12.0,0.01067495346069336,0.45,0.7000000000000001
19,10.0,0.009364128112792969,0.4000000000000001,0.8
20,11.0,0.008944988250732422,0.09000000000000001,0.53
21,11.0,0.009121417999267578,0.35000000000000003,0.7000000000000001
22,10.0,0.007714748382568359,0.35000000000000003,0.61
23,11.0,0.009362459182739258,0.35000000000000003,0.7000000000000001
24,6.0,0.005120992660522461,0.25000000000000006,0.61
25,12.0,0.010133981704711914,0.39000000000000007,0.7000000000000001
26,13.0,0.009451627731323242,0.25000000000000006,0.48000000000000004
27,12.0,0.009430408477783203,0.08000000000000002,0.46
28,13.0,0.010476350784301758,0.05,0.5
29,11.0,0.0091094970703125,0.35000000000000003,0.7000000000000001
30,11.0,0.009296655654907227,0.3000000000000001,0.8
31,6.0,0.005472898483276367,0.51,0.9400000000000001
32,13.0,0.010252237319946289,0.05,0.5
33,7.0,0.006104469299316406,0.47000000000000003,0.75
34,13.0,0.012594461441040039,0.48000000000000004,0.7000000000000001
35,9.0,0.0073163509368896484,0.3200000000000001,0.61
36,10.0,0.008306026458740234,0.35000000000000003,0.62
37,8.0,0.00721287727355957,0.48000000000000004,0.85
38,14.0,0.010885000228881836,0.08000000000000002,0.46
39,12.0,0.01002049446105957,0.48000000000000004,0.7000000000000001
40,9.0,0.007238626480102539,0.05,0.51
41,6.0,0.005249500274658203,0.38000000000000006,0.61
42,12.0,0.00905752182006836,0.4000000000000001,0.7000000000000001
43,14.0,0.011305570602416992,0.3000000000000001,0.6
44,13.0,0.009947538375854492,0.20000000000000007,0.5
45,12.0,0.010016679763793945,0.45,0.7000000000000001
46,13.0,0.011463165283203125,0.48000000000000004,0.7000000000000001
47,7.0,0.005988359451293945,0.25000000000000006,0.61
48,7.0,0.006045341491699219,0.3200000000000001,0.61
49,5.0,0.004735231399536133,0.48000000000000004,0.85
