,itsNAG,run_time,t,m
0,41.0,0.0326845645904541,0.09000000000000001,0.09000000000000001
1,40.0,0.032564640045166016,0.09000000000000001,0.09000000000000001
2,36.0,0.02889728546142578,0.08000000000000002,0.15000000000000002
3,41.0,0.032792091369628906,0.09000000000000001,0.1
4,38.0,0.030791044235229492,0.09000000000000001,0.14
5,39.0,0.031076431274414062,0.09000000000000001,0.07
6,41.0,0.03420829772949219,0.09000000000000001,0.09000000000000001
7,41.0,0.032959938049316406,0.09000000000000001,0.11000000000000001
8,35.0,0.028166770935058594,0.08000000000000002,0.14
9,40.0,0.03163027763366699,0.08000000000000002,0.15000000000000002
10,37.0,0.02974724769592285,0.08000000000000002,0.15000000000000002
11,40.0,0.03242826461791992,0.09000000000000001,0.07
12,39.0,0.03174185752868652,0.09000000000000001,0.060000000000000005
13,38.0,0.030432701110839844,0.09000000000000001,0.08000000000000002
14,40.0,0.03230857849121094,0.09000000000000001,0.13
15,40.0,0.033234357833862305,0.09000000000000001,0.12000000000000001
16,38.0,0.030606985092163086,0.09000000000000001,0.1
17,41.0,0.033151865005493164,0.09000000000000001,0.11000000000000001
18,42.0,0.03362703323364258,0.09000000000000001,0.08000000000000002
19,40.0,0.03216981887817383,0.09000000000000001,0.1
20,41.0,0.033884525299072266,0.09000000000000001,0.09000000000000001
21,38.0,0.03067159652709961,0.09000000000000001,0.1
22,37.0,0.029773712158203125,0.08000000000000002,0.15000000000000002
23,40.0,0.03202390670776367,0.09000000000000001,0.08000000000000002
24,42.0,0.03406643867492676,0.09000000000000001,0.09000000000000001
25,39.0,0.03165411949157715,0.09000000000000001,0.09000000000000001
26,35.0,0.02813720703125,0.08000000000000002,0.14
27,41.0,0.03279566764831543,0.09000000000000001,0.08000000000000002
28,41.0,0.03261256217956543,0.09000000000000001,0.08000000000000002
29,38.0,0.03088235855102539,0.09000000000000001,0.08000000000000002
30,39.0,0.032704830169677734,0.09000000000000001,0.1
31,39.0,0.031282901763916016,0.09000000000000001,0.09000000000000001
32,37.0,0.02971339225769043,0.09000000000000001,0.14
33,39.0,0.031319618225097656,0.09000000000000001,0.09000000000000001
34,41.0,0.033094167709350586,0.09000000000000001,0.1
35,33.0,0.026517391204833984,0.08000000000000002,0.14
36,37.0,0.029780149459838867,0.08000000000000002,0.15000000000000002
37,38.0,0.030373573303222656,0.09000000000000001,0.09000000000000001
38,40.0,0.03209519386291504,0.09000000000000001,0.13
39,39.0,0.031748294830322266,0.09000000000000001,0.09000000000000001
40,40.0,0.03197360038757324,0.09000000000000001,0.08000000000000002
41,39.0,0.03288149833679199,0.09000000000000001,0.08000000000000002
42,41.0,0.03429079055786133,0.09000000000000001,0.09000000000000001
43,40.0,0.032117366790771484,0.09000000000000001,0.11000000000000001
44,38.0,0.030799388885498047,0.08000000000000002,0.15000000000000002
45,40.0,0.03203773498535156,0.09000000000000001,0.11000000000000001
46,41.0,0.034186363220214844,0.09000000000000001,0.08000000000000002
47,36.0,0.028616905212402344,0.09000000000000001,0.07
48,36.0,0.028574466705322266,0.09000000000000001,0.09000000000000001
49,36.0,0.028691530227661133,0.09000000000000001,0.07
