,itsSGD,run_time,t
0,100.0,0.08391332626342773,0.05
1,100.0,0.08269405364990234,0.05
2,100.0,0.0839085578918457,0.05
3,100.0,0.08345627784729004,0.05
4,100.0,0.08619856834411621,0.05
5,100.0,0.08792304992675781,0.05
6,100.0,0.08434033393859863,0.05
7,100.0,0.08395981788635254,0.05
8,100.0,0.08537793159484863,0.05
9,100.0,0.08667659759521484,0.05
10,100.0,0.08636307716369629,0.05
11,100.0,0.0836937427520752,0.05
12,100.0,0.08344602584838867,0.05
13,100.0,0.08420610427856445,0.05
14,100.0,0.08408069610595703,0.05
15,100.0,0.08628439903259277,0.05
16,100.0,0.0826573371887207,0.05
17,100.0,0.08306002616882324,0.05
18,100.0,0.08576679229736328,0.05
19,100.0,0.08676576614379883,0.05
20,100.0,0.08483600616455078,0.05
21,100.0,0.08762669563293457,0.05
22,100.0,0.08323478698730469,0.05
23,100.0,0.08319807052612305,0.05
24,100.0,0.0880117416381836,0.05
25,100.0,0.09189462661743164,0.05
26,100.0,0.1740405559539795,0.05
27,100.0,0.08402204513549805,0.05
28,100.0,0.08785796165466309,0.05
29,100.0,0.08359670639038086,0.05
30,100.0,0.08740854263305664,0.05
31,100.0,0.08693361282348633,0.05
32,100.0,0.08577799797058105,0.05
33,100.0,0.08616161346435547,0.05
34,100.0,0.08325719833374023,0.05
35,100.0,0.08774185180664062,0.05
36,100.0,0.0862727165222168,0.05
37,100.0,0.08539128303527832,0.05
38,100.0,0.0836789608001709,0.05
39,100.0,0.08335185050964355,0.05
40,100.0,0.08312225341796875,0.05
41,100.0,0.08748555183410645,0.05
42,100.0,0.08273601531982422,0.05
43,100.0,0.08479881286621094,0.05
44,100.0,0.08716607093811035,0.05
45,100.0,0.0846407413482666,0.05
46,100.0,0.08293509483337402,0.05
47,100.0,0.08257865905761719,0.05
48,100.0,0.08316397666931152,0.05
49,100.0,0.08420872688293457,0.05
